mp_id,material,spectral_spread,freq_gap_max_THz,freq_gap_max_ratio,frac_sv2_below_median,spectral_entropy,n_modes,phonopy_version
4452,Cd(GaS2)2,0.534066,1.9341,0.1697,0.7952,0.8212,21,3.4.0
3772,Cd(GaSe2)2,0.508532,0.9211,0.1151,0.7938,0.883,21,3.4.0
4659,Cd(PO3)2,0.740554,3.3338,0.087,0.3449,0.9079,216,3.4.0
3917,Cd2GeO4,0.672859,5.1845,0.228,0.4585,0.8992,84,3.4.0
4530,Cd2SiO4,0.739964,7.8709,0.28,0.5286,0.8596,42,3.4.0
27899,Cd3AsCl3,0.62106,0.7354,0.09,0.4615,0.9482,84,3.4.0
4385,CdCO3,0.882432,10.2916,0.2254,0.5541,0.6478,30,3.4.0
241,CdF2,0.459707,2.7814,0.2346,0.4761,0.8876,9,3.4.0
2951,CdGeO3,0.679987,4.4273,0.1771,0.61,0.893,60,3.4.0
3668,CdGeP2,0.556443,2.4547,0.2124,0.8674,0.876,24,3.4.0
2310,CdO2,0.726904,13.8891,0.5361,0.6669,0.7057,36,3.4.0
402,CdP2,0.605245,2.5631,0.1841,0.7718,0.8849,36,3.4.0
913,CdP2,0.604445,2.4495,0.1756,0.7573,0.8823,72,3.4.0
2469,CdS,0.594914,4.164,0.4648,0.7597,0.805,6,3.4.0
672,CdS,0.590813,3.6683,0.4069,0.7925,0.8018,12,3.4.0
1070,CdSe,0.519371,1.8942,0.3164,0.9024,0.8668,12,3.4.0
2691,CdSe,0.522913,2.3599,0.4029,0.8973,0.8817,6,3.4.0
3078,CdSiAs2,0.624353,4.3773,0.3621,0.8076,0.8218,24,3.4.0
4666,CdSiP2,0.573963,2.4634,0.1649,0.7574,0.9011,24,3.4.0
754329,CdSnO3,0.559592,2.3452,0.1293,0.5207,0.926,30,3.4.0
849371,CdSnO3,0.606102,1.794,0.0872,0.4083,0.9607,60,3.4.0
406,CdTe,0.505622,1.9896,0.4201,0.843,0.9596,6,3.4.0
2956,Co2(GeS)3,0.374296,0.8509,0.0703,0.873,0.8445,96,3.4.0
2994,Co2(GeTe)3,0.421302,1.3739,0.1434,0.7683,0.8721,96,3.4.0
16363,CoAsS,0.31944,1.2802,0.1076,0.9233,0.8372,36,3.4.0
4627,CoAsS,0.322297,1.198,0.0988,0.9028,0.8788,36,3.4.0
4338,Cr2CdS4,0.408107,1.6084,0.1332,0.9383,0.6332,42,3.4.0
4182,CrAgS2,0.565605,2.7722,0.2168,0.9532,0.2659,12,3.4.0
3779,CrSiTe3,0.705044,4.649,0.3212,0.79,0.551,30,3.4.0
7232,Cs2HgO2,1.157084,11.0279,0.5473,0.2555,0.7383,15,3.4.0
13634,Cs2LiAl3F12,0.622649,1.9747,0.0824,0.3022,0.9283,54,3.4.0
989405,Cs2LiInBr6,0.635683,1.0534,0.1711,0.2673,0.9182,30,3.4.0
23752,Cs2MgH4,0.728321,10.5434,0.3096,0.1826,0.7935,21,3.4.0
2884,Cs2Mn3S4,0.596297,1.2416,0.0948,0.7053,0.9349,54,3.4.0
3704,Cs2Mn3Se4,0.607747,1.5512,0.1503,0.5814,0.9165,54,3.4.0
30062,Cs2PtBr6,0.666867,2.0969,0.3017,0.9514,0.5708,27,3.4.0
23060,Cs2PtI6,0.656589,1.2783,0.2355,0.8451,0.6663,27,3.4.0
4047,Cs2SiF6,0.793105,4.5115,0.2039,0.7312,0.5086,27,3.4.0
23405,Cs2TeBr6,0.698006,2.0172,0.3476,0.8485,0.6729,27,3.4.0
23465,Cs2TeCl6,0.726488,3.328,0.3974,0.7826,0.6765,27,3.4.0
573763,Cs2Te,0.404613,0.257,0.082,0.55,0.9556,36,3.4.0
3247,Cs2TiS3,0.76872,2.1188,0.1509,0.0979,0.8573,36,3.4.0
638729,Cs2ZrCl6,0.757994,3.1767,0.3341,0.7883,0.6355,27,3.4.0
574070,Cs4Pb9,0.483747,0.212,0.0626,0.8256,0.8052,156,3.4.0
2667,CsAu,0.40824,0.5857,0.2573,0.687,0.9059,6,3.4.0
3977,CsB3O5,0.713218,4.3616,0.0965,0.5669,0.8972,108,3.4.0
560558,CsCdAuS2,0.803667,2.7024,0.2621,0.5166,0.7918,30,3.4.0
1784,CsF,0.525762,1.9621,0.2798,0.3162,0.8754,6,3.4.0
606680,CsLi2Br3,0.75588,3.3982,0.3225,0.2116,0.8877,18,3.4.0
23364,CsLiCl2,0.671138,2.61,0.2163,0.3413,0.92,24,3.4.0
3288,CsNO2,1.323775,17.7737,0.4471,0.5046,0.4691,36,3.4.0
505321,CsNb(CuTe2)2,0.610683,2.1958,0.2688,0.8822,0.6589,96,3.4.0
582146,CsNb4Cl11,0.483073,0.4795,0.0417,0.7998,0.8891,96,3.4.0
984872,CsPb2Cl5,0.535093,0.5533,0.0821,0.536,0.9754,48,3.4.0
11118,CsPrCdSe3,0.505762,0.5814,0.0943,0.6166,0.9653,36,3.4.0
9080,CsPrS2,0.53357,1.6895,0.2076,0.762,0.9064,12,3.4.0
2969,CsSbSe2,0.680891,1.592,0.2283,0.4285,0.9123,48,3.4.0
7212,CsSmHgSe3,0.523603,0.6995,0.1196,0.6835,0.927,36,3.4.0
30164,CsSn2Cl5,0.564308,0.6422,0.0861,0.5277,0.9719,48,3.4.0
361,Cu2O,0.90254,7.8184,0.3807,0.1761,0.8739,18,3.4.0
3934,Cu3PS4,0.553196,2.8065,0.186,0.7351,0.8193,48,3.4.0
22913,CuBr,0.51988,2.2405,0.4036,0.8352,0.9213,6,3.4.0
22914,CuCl,0.610135,3.1098,0.3823,0.3064,0.8187,6,3.4.0
22895,CuI,0.449698,1.8308,0.3727,0.9086,0.9302,6,3.4.0
32750,CuI,0.452095,1.0423,0.211,0.9128,0.9304,24,3.4.0
927,CuP2,0.52331,3.0992,0.2086,0.8826,0.8193,36,3.4.0
4468,CuSbS2,0.549782,1.2101,0.1181,0.5889,0.9333,48,3.4.0
28741,CuSe3Br,0.582788,0.8337,0.1021,0.7506,0.8269,60,3.4.0
3261,Dy(BO2)3,0.539683,0.6601,0.0177,0.5904,0.9716,480,3.4.0
3611,Dy2Hf2O7,0.657831,3.343,0.1376,0.4565,0.9558,66,3.4.0
2345,Dy2O3,0.517959,2.0379,0.1118,0.5092,0.9395,120,3.4.0
1270,Dy2S3,0.442951,1.0326,0.1016,0.7609,0.9265,60,3.4.0
752405,Dy2SiO5,0.691414,7.4896,0.2361,0.5882,0.8475,96,3.4.0
768317,Dy2SiO5,0.691639,7.7612,0.2511,0.5651,0.8673,96,3.4.0
18219,Dy2SiSeO4,0.756385,7.4427,0.2518,0.408,0.8837,96,3.4.0
4024,DyAgTe2,0.43454,0.4855,0.0957,0.72,0.9467,24,3.4.0
556108,DyTiClO3,0.631783,2.2429,0.0932,0.3274,0.9823,36,3.4.0
3041,Er2CdS4,0.512128,1.2519,0.123,0.7464,0.9065,42,3.4.0
2460,Er2O3,0.567484,1.23,0.0648,0.5532,0.9618,45,3.4.0
679,Er2O3,0.521998,2.2689,0.1223,0.5138,0.9377,120,3.4.0
2234,Er2S3,0.4813,0.53,0.0492,0.7588,0.9065,90,3.4.0
209,Er2Se3,0.371943,0.4984,0.0757,0.6713,0.9464,60,3.4.0
555983,Er2SiO5,0.69007,7.4903,0.2412,0.5593,0.8724,96,3.4.0
3688,Er2Sn2O7,0.590773,1.4654,0.0652,0.5033,0.9683,66,3.4.0
3384,Er3Al5O12,0.500544,2.1565,0.0834,0.5392,0.9602,240,3.4.0
4044,ErAgSe2,0.452199,0.4973,0.0799,0.794,0.9352,48,3.4.0
546621,ErBi2BrO4,0.659984,3.1241,0.1799,0.1724,0.8853,24,3.4.0
551250,ErBi2IO4,0.666772,3.0312,0.1792,0.1829,0.8922,24,3.4.0
3457,ErP5O14,0.705671,4.5243,0.1127,0.631,0.8188,240,3.4.0
4006,ErPO4,0.691444,9.4019,0.2705,0.6048,0.7858,36,3.4.0
3444,ErTaO4,0.612475,2.6842,0.1092,0.3647,0.9784,36,3.4.0
4123,ErTlS2,0.597425,2.344,0.2758,0.6089,0.8978,12,3.4.0
1522,FeS2,0.262424,1.7247,0.1195,0.8914,0.9061,18,3.4.0
226,FeS2,0.25304,1.5069,0.1065,0.9169,0.9074,36,3.4.0
1714,FeSi2,0.297668,1.2003,0.076,0.7653,0.9449,72,3.4.0
4809,Ga2HgS4,0.562613,1.8285,0.1616,0.7465,0.8473,21,3.4.0
4730,Ga2HgSe4,0.537329,0.9254,0.1165,0.7642,0.8911,21,3.4.0
1243,Ga2O3,0.467693,1.8758,0.0922,0.6205,0.9582,30,3.4.0
886,Ga2O3,0.534023,2.2097,0.0957,0.6136,0.9447,30,3.4.0
20496,Ga2PbO4,0.703904,2.327,0.1006,0.5163,0.9237,42,3.4.0
539,Ga2S3,0.53102,2.371,0.1906,0.7997,0.8316,30,3.4.0
1340,Ga2Se3,0.517356,1.2224,0.1406,0.783,0.8461,30,3.4.0
2371,Ga2Te5,0.528299,1.2031,0.1715,0.6427,0.8676,21,3.4.0
3107,Ga3PO7,0.680604,7.1497,0.2127,0.7671,0.772,33,3.4.0
3996,GaAsO4,0.697422,7.5791,0.278,0.8086,0.7464,54,3.4.0
4280,GaCuO2,0.587414,3.7148,0.1643,0.5474,0.923,12,3.4.0
588,GaF3,0.52702,2.7769,0.1445,0.395,0.9381,24,3.4.0
804,GaN,0.518619,7.751,0.3656,0.8027,0.7857,12,3.4.0
830,GaN,0.526165,8.7016,0.4143,0.8212,0.7712,6,3.4.0
4122,GaPO4,0.716654,10.722,0.3093,0.8168,0.706,54,3.4.0
2490,GaP,0.49573,4.3864,0.3773,0.9102,0.7968,6,3.4.0
2507,GaS,0.494501,2.583,0.2352,0.8138,0.8613,24,3.4.0
1572,GaSe,0.492414,1.9249,0.211,0.8715,0.8118,24,3.4.0
1943,GaSe,0.49397,1.9378,0.2121,0.8708,0.8132,24,3.4.0
10009,GaTe,0.549511,2.4099,0.2848,0.879,0.7308,24,3.4.0
542812,GaTe,0.539661,1.6474,0.1972,0.8539,0.7829,36,3.4.0
4187,Ge2N2O,0.629095,8.1349,0.2964,0.7539,0.8034,30,3.4.0
223,GeO2,0.683531,6.9904,0.2541,0.7819,0.7766,27,3.4.0
470,GeO2,0.47038,3.9687,0.1618,0.6313,0.92,18,3.4.0
733,GeO2,0.683522,6.9907,0.2541,0.7819,0.7764,27,3.4.0
2242,GeS,0.482007,2.5703,0.272,0.5692,0.9141,24,3.4.0
700,GeSe,0.449873,1.6171,0.2468,0.6706,0.9115,24,3.4.0
938,GeTe,0.399662,1.2804,0.2329,0.6709,0.9274,6,3.4.0
559617,HfB2O5,0.532582,1.7263,0.0447,0.4182,0.97,96,3.4.0
1858,HfO2,0.527402,1.4655,0.0628,0.5004,0.9766,72,3.4.0
352,HfO2,0.540577,2.9804,0.1242,0.3708,0.9744,36,3.4.0
985829,HfS2,0.466438,2.612,0.2632,0.8295,0.9506,9,3.4.0
4609,HfSiO4,0.629586,6.9517,0.2101,0.5459,0.888,36,3.4.0
3810,Hg(AsO3)2,0.546209,2.4108,0.1096,0.573,0.9456,27,3.4.0
3167,Hg2GeSe4,0.598836,1.8226,0.2148,0.6191,0.8336,21,3.4.0
4710,Hg3(BO3)2,0.89567,9.6476,0.2471,0.4442,0.7817,66,3.4.0
4445,Hg3AsO4,0.923246,7.6891,0.3324,0.379,0.7948,96,3.4.0
567949,Hg3AsSe4Br,0.655297,1.35,0.1688,0.6434,0.8013,54,3.4.0
3538,Hg3TeO6,0.714841,2.7445,0.1378,0.4242,0.8975,240,3.4.0
