mp_id,material,spacegroup,sg_symbol,crystal_system,nsites,volume,density
3466,PrAlO3,167,R-3c,Trigonal,30,319.2781,6736.88
3468,NaAsO2,61,Pbca,Orthorhombic,32,493.7801,3495.01
3472,PbSO4,62,Pnma,Orthorhombic,24,314.7397,6399.95
3487,Ca3(PO4)2,166,R-3m,Trigonal,39,439.477,3515.96
3488,Na2Ti3O7,11,P2_1/m,Monoclinic,24,289.4672,3460.01
3491,NbSbO4,33,Pna2_1,Orthorhombic,24,325.1881,5691.88
3502,Zn2Te3O8,15,C2/c,Monoclinic,52,754.0638,5651.13
3503,Li6WN4,137,P4_2/nmc,Tetragonal,22,214.4455,4359.74
3516,UTeO5,57,Pbcm,Orthorhombic,28,411.1557,7199.02
3520,Y2SiO5,15,C2/c,Monoclinic,64,847.5897,4480.84
3521,NaBF4,63,Cmcm,Orthorhombic,24,287.9266,2532.84
3524,LiPN2,122,I-42d,Tetragonal,16,148.5175,2948.51
3527,Na3AgO2,72,Ibam,Orthorhombic,24,348.0422,3985.51
3529,K3VS4,62,Pnma,Orthorhombic,32,871.4117,2259.98
3536,MgAl2O4,227,Fd-3m,Cubic,56,533.1153,3545.02
3538,Hg3TeO6,206,Ia-3,Cubic,160,2468.3308,8884.09
3540,Li2SnO3,15,C2/c,Monoclinic,48,477.0147,5029.23
3551,TbAgTe2,113,P-42_1m,Tetragonal,8,225.204,7697.83
3552,Li2Si2O5,60,Pbcn,Orthorhombic,36,399.5057,2494.72
3556,Tm2SO2,164,P-3m1,Trigonal,5,76.1803,8761.12
3563,Ba5Nb4O15,164,P-3m1,Trigonal,24,345.7951,6234.32
3564,BaSc2O4,15,C2/c,Monoclinic,84,1163.924,4985.99
3575,Ca3(BO3)2,167,R-3c,Trigonal,66,746.0047,3176.63
3582,Mg(BC)2,64,Cmce,Orthorhombic,80,759.3385,2447.44
3584,NdPO4,14,P2_1/c,Monoclinic,24,290.3089,5473.11
3589,BPO4,82,I-4,Tetragonal,12,128.3271,2737.63
3592,KAuS5,72,Ibam,Orthorhombic,56,1372.9951,3835.24
3595,ZnSiAs2,122,I-42d,Tetragonal,16,339.5804,4759.1
3611,Dy2Hf2O7,227,Fd-3m,Cubic,88,1117.2739,9440.32
3612,NbSbO4,52,Pnna,Orthorhombic,24,330.2847,5604.05
3613,NaErS2,166,R-3m,Trigonal,12,259.5962,4881.5
3614,KTaO3,221,Pm-3m,Cubic,5,63.8578,6970.15
3615,Nd(BO2)3,15,C2/c,Monoclinic,40,401.7111,4508.53
3622,Na2PdF4,14,P2_1/c,Monoclinic,14,191.2104,3966.9
3626,SrZrO3,63,Cmcm,Orthorhombic,40,550.1826,5477.17
3635,LiBO2,14,P2_1/c,Monoclinic,16,146.5041,2255.59
3637,YOF,166,R-3m,Trigonal,18,231.9226,5322.82
3642,ScCuO2,194,P6_3/mmc,Hexagonal,8,100.3909,4647.97
3647,LiGaS2,33,Pna2_1,Orthorhombic,16,316.2604,2956.98
3653,Mg(SbO3)2,136,P4_2/mnm,Tetragonal,18,204.1268,5919.26
3654,RbCaF3,221,Pm-3m,Cubic,5,87.2035,3475.97
3660,LiB3O5,33,Pna2_1,Orthorhombic,36,320.6627,2472.63
3664,NdTlS2,166,R-3m,Trigonal,12,321.0646,6404.29
3666,LiTaO3,161,R3c,Trigonal,30,315.0161,7460.57
3668,CdGeP2,122,I-42d,Tetragonal,16,353.1553,4645.56
3671,NaNbO3,57,Pbcm,Orthorhombic,40,482.5757,4511.68
