mp_id,material,gamma_mean,gamma_transport,gamma_norm_mean,gamma_norm_transport,kappa_rta,log_gamma_transport,inv_gamma_transport,n_modes,compute_time_s
856,SnO2,0.056187,0.041190,0.000364,0.000395,34.64,-3.1896,24.2776,18,8.5
2231,SnS,0.062850,0.077149,0.003609,0.004032,1.86,-2.5620,12.9619,24,63.1
691,SnSe,0.033668,0.036123,0.005009,0.006482,1.37,-3.3208,27.6830,24,63.7
21228,SrCuSeF,0.118195,0.078778,0.009217,0.005976,1.68,-2.5411,12.6939,24,40.7
981,SrF2,0.079109,0.058828,0.001982,0.002295,6.30,-2.8331,16.9988,9,6.2
2472,SrO,0.114941,0.185137,0.002304,0.002527,7.34,-1.6867,5.4014,6,2.7
1950,SrS2,0.045433,0.036983,0.002299,0.003346,476.66,-3.2973,27.0392,18,11.6
1087,SrS,0.019690,0.017027,0.000932,0.001420,10.47,-4.0729,58.7293,6,2.7
2758,SrSe,0.008113,0.008409,0.000690,0.001068,19.68,-4.7785,118.9259,6,2.7
1958,SrTe,0.010954,0.009433,0.001370,0.001949,10.32,-4.6635,106.0104,6,2.7
4081,TaCu3Se4,0.036975,0.013125,0.001663,0.001662,5.78,-4.3333,76.1919,24,6.3
10782,TbRbSe2,0.019634,0.016550,0.002256,0.003756,2.42,-4.1013,60.4215,12,11.6
569507,TbTlSe2,0.029506,0.033705,0.004405,0.005721,1.36,-3.3901,29.6695,12,11.5
602,Te2Mo,0.010082,0.004867,0.000598,0.000974,13.97,-5.3252,205.4501,18,24.0
2552,TeO3,0.057840,0.030463,0.000407,0.000439,38.67,-3.4912,32.8266,24,20.5
7768,Th2SeN2,0.033290,0.041148,0.000421,0.000570,15.92,-3.1906,24.3027,15,9.9
643,ThO2,0.096710,0.088252,0.001054,0.001175,13.61,-2.4276,11.3311,9,6.3
866154,TiBeIr2,0.021445,0.029161,0.000342,0.000485,23.29,-3.5349,34.2920,12,12.5
924130,TiNiSn,0.015996,0.009595,0.000574,0.000689,15.85,-4.6465,104.2159,9,6.3
2657,TiO2,0.960666,0.898144,0.014205,0.018510,1.61,-0.1074,1.1134,18,13.9
720,TlF,0.223019,0.337523,0.021068,0.017871,0.60,-1.0861,2.9628,24,64.8
3556,Tm2SO2,0.057960,0.042230,0.000643,0.000705,13.97,-3.1646,23.6796,15,10.1
3762,VCu3S4,0.033698,0.011873,0.000857,0.001052,10.25,-4.4335,84.2271,24,6.1
224,WS2,0.005226,0.002809,0.000163,0.000205,123.91,-5.8748,355.9406,18,10.2
1821,WSe2,0.005956,0.003773,0.000359,0.000508,28.56,-5.5800,265.0649,18,24.0
30250,YAgO2,0.065387,0.070369,0.000939,0.001128,16.99,-2.6540,14.2108,24,25.4
2918,YCuO2,0.104789,0.111638,0.001243,0.001335,18.04,-2.1925,8.9575,24,25.2
3637,YOF,0.108778,0.083858,0.001510,0.001772,5.60,-2.4786,11.9250,18,9.3
570418,YbI2,0.019416,0.017072,0.005002,0.006368,1.31,-4.0703,58.5756,9,17.7
1216,YbO,0.104829,0.220820,0.001172,0.001622,41.00,-1.5104,4.5286,6,2.7
1820,YbS,0.019464,0.012687,0.000677,0.000918,51.49,-4.3671,78.8179,6,2.7
286,YbSe,0.009900,0.008052,0.000996,0.001511,10.26,-4.8218,124.1889,6,2.7
1779,YbTe,0.008297,0.007445,0.001330,0.001940,8.78,-4.9003,134.3238,6,2.7
1873,ZnF2,0.139262,0.125224,0.002220,0.002293,6.73,-2.0776,7.9857,18,13.4
