material,mp_id,k_bte_xx,k_bte_yy,k_bte_zz,k_bte_avg
BaS2,684,1.95,2.18,2.14,2.09
BaS3,239,1.33,1.33,1.49,1.39
BaS,1500,6.57,6.57,6.57,6.57
BaSe,1253,10.46,10.46,10.46,10.46
BaSi2,1477,1.02,1.31,0.95,1.1
BaTe,1000,6.12,6.12,6.12,6.12
Be2C,1569,112.16,112.16,112.16,112.16
Ca3N2,1047,5.51,5.51,7.0,6.01
CaC2,1575,3.49,3.96,3.62,3.69
CaC2,917,4.6,3.32,3.32,3.75
CaN6,676,1.39,2.8,0.67,1.62
CaS,1672,30.05,30.05,30.05,30.05
CaSe,1415,17.15,17.15,17.15,17.15
CaTe,1519,11.39,11.39,11.39,11.39
CdF2,241,3.8,3.8,3.8,3.8
CdP2,402,4.11,4.35,5.76,4.74
CdP2,913,5.08,5.08,3.92,4.69
CsF,1784,1.77,1.77,1.77,1.77
Cu2O,361,2.37,2.37,2.37,2.37
CuP2,927,3.52,2.89,2.79,3.07
Dy2S3,1270,2.98,4.69,2.56,3.41
Er2Se3,209,1.95,1.85,2.1,1.97
FeS2,1522,63.32,62.82,88.2,71.44
FeS2,226,53.63,53.63,53.63,53.63
FeSi2,1714,20.68,20.85,22.61,21.38
Ga2O3,1243,12.76,12.76,14.82,13.44
GaF3,588,8.59,8.59,11.74,9.64
GaN,830,179.52,179.52,179.52,179.52
GaSe,1572,19.76,19.76,0.72,13.41
GeO2,470,32.39,32.39,50.67,38.48
GeSe,700,0.87,3.42,2.07,2.12
HgF,706,0.74,0.74,1.64,1.04
HgO,1224,6.75,1.13,1.22,3.04
HgS,634,0.78,0.78,1.02,0.86
Ho2S3,878,1.1,2.81,1.13,1.68
Ho4C7,1154,4.44,1.45,1.39,2.43
K2O,971,3.58,3.58,3.58,3.58
K2S,1022,3.52,3.52,3.52,3.52
K2Te,1747,2.12,2.12,2.12,2.12
K3P11,1568,0.03,0.02,0.02,0.02
KSb,1536,0.22,0.39,0.22,0.27
KSi,1217,0.26,0.26,0.26,0.26
LaF3,905,0.73,0.73,1.29,0.92
LaS2,1508,2.96,2.22,3.21,2.8
Li2O2,841,6.85,6.85,5.14,6.28
Li2S,1153,12.75,12.75,12.75,12.75
Li3As,757,2.61,2.61,2.48,2.57
Li3P,736,2.67,2.67,2.69,2.68
LiC,1378,10.36,18.86,11.12,13.45
LiF,1138,17.25,17.25,17.25,17.25
Lu2O3,1427,10.66,10.66,10.66,10.66
Mg3N2,1559,9.53,9.53,9.53,9.53
MgF2,1249,16.9,16.9,26.15,19.98
MgP4,384,4.32,6.35,6.04,5.57
MgS,1315,21.71,21.71,21.71,21.71
MoS2,1434,72.78,72.78,2.49,49.35
Na2S,648,6.61,6.61,6.61,6.61
Na2Se,1266,4.42,4.42,4.42,4.42
NaF,682,23.97,23.97,23.97,23.97
Nb2O5,604,4.06,3.92,4.18,4.05
NbZn3,953,5.85,5.85,5.85,5.85
Nd2O3,1045,6.35,6.35,6.35,6.35
Nd2S3,438,2.62,3.93,1.87,2.8
NiP2,486,17.48,35.02,32.13,28.21
P2Pt,730,60.67,60.67,60.67,60.67
P2Ru,1413,38.58,43.88,41.93,41.46
PbF2,315,1.42,1.42,1.42,1.42
PbF4,341,4.02,4.02,0.49,2.85
PtO2,1285,88.66,97.28,181.43,122.45
Rb2O,1394,2.69,2.69,2.69,2.69
RbSi,1074,0.24,0.24,0.24,0.24
ReO3,190,22.31,22.31,22.31,22.31
Rh2O3,1716,36.53,40.53,41.82,39.63
Sb2Ir,1247,15.06,18.58,15.79,16.48
Sb2O5,1705,9.99,10.74,12.41,11.05
SbO2,1819,8.11,5.72,6.54,6.79
Sc2O3,216,10.2,10.2,10.2,10.2
Sc2S3,401,4.28,4.15,4.86,4.43
Si,165,80.61,80.61,68.56,76.59
Sm2O3,218,6.88,6.88,6.88,6.88
Sm2S3,1403,2.56,4.05,1.8,2.8
Sn3F8,1443,0.19,0.33,0.44,0.32
SnO2,856,31.93,31.93,50.57,38.14
SnSe,691,0.64,1.76,1.46,1.29
SrF2,981,8.23,8.23,8.23,8.23
SrGe2,1244,0.75,1.01,0.73,0.83
Tb2O3,1056,9.1,9.1,9.1,9.1
Te2Mo,602,16.55,16.55,0.82,11.31
TeO2,557,1.91,1.91,2.23,2.02
Th2S5,1666,3.26,2.39,3.26,2.97
ThS2,1146,3.04,2.52,2.53,2.69
TlF,720,0.29,0.69,0.96,0.64
Tm2O3,1767,9.56,9.56,9.56,9.56
WS2,224,122.74,122.74,1.25,82.24
WSe2,1821,40.56,40.56,0.5,27.21
YbO,1216,29.34,29.34,29.34,29.34
YbS,1820,23.83,23.83,23.83,23.83
YbSe,286,10.49,10.49,10.49,10.49
YbTe,1779,9.87,9.87,9.87,9.87
ZnP2,1392,5.86,6.34,10.38,7.53
ZnSe,1190,19.23,19.23,19.23,19.23
Zr3N4,277,2.6,7.3,3.97,4.62
ZrS2,1186,13.73,13.73,3.86,10.44
Al2HgSe4,3038,1.89,1.89,1.83,1.87
Al2ZnO4,2908,24.49,24.49,24.49,24.49
As2Os,2455,26.21,31.32,29.94,29.16
Ba3(SnP2)2,2911,1.81,1.06,1.5,1.46
BaGe2,2139,0.63,0.83,0.66,0.71
BaNd2O4,2892,1.79,4.55,1.87,2.74
BaSi2O5,3031,1.08,2.17,2.23,1.83
Ca(AuO2)2,2898,8.64,8.64,8.7,8.66
CaF2,2741,9.43,9.43,9.43,9.43
CdGeO3,2951,2.79,2.25,3.46,2.83
CdO2,2310,7.81,7.81,7.81,7.81
