mp_id,material,sv2,sv2_per_mode,n_modes,n_masked_weighted,phonopy_version
988,Si3N4,32705.3026,778.6977,42,0.155093,3.4.0
2084,Si5Ir3,7590.0624,39.5316,192,0.0,3.4.0
3273,Si5P6O25,15968.3034,147.8547,108,0.0,3.4.0
1863,SiAs,2994.86,83.1906,36,0.001157,3.4.0
7140,SiC,13994.8857,1166.2405,12,0.0,3.4.0
8062,SiC,8063.1125,1343.8521,6,0.0,3.4.0
1818,SiF4,809.588,53.9725,15,0.0,3.4.0
978534,SiGe,3805.543,317.1286,12,0.0,3.4.0
10851,SiO2,18278.0446,676.9646,27,0.337963,3.4.0
11684,SiO2,33017.4477,458.5757,72,1.153935,3.4.0
12787,SiO2,21006.9803,389.0182,54,0.078704,3.4.0
15078,SiO2,52954.0145,326.8766,162,4.451389,3.4.0
16964,SiO2,29155.1919,269.9555,108,0.451389,3.4.0
17909,SiO2,20656.5276,191.2641,108,0.003472,3.4.0
546546,SiO2,14234.5668,527.2062,27,0.010417,3.4.0
553993,SiO2,18646.8955,129.4923,144,0.0,3.4.0
555740,SiO2,19519.319,271.1017,72,0.0,3.4.0
6922,SiO2,18321.6609,678.58,27,0.337963,3.4.0
6945,SiO2,25111.5253,697.5424,36,0.0,3.4.0
7000,SiO2,9141.6562,338.5799,27,0.002315,3.4.0
7029,SiO2,25047.5424,695.7651,36,0.0,3.4.0
7087,SiO2,86210.0057,2394.7224,36,1.805556,3.4.0
8059,SiO2,36122.9746,501.708,72,0.037037,3.4.0
8352,SiO2,59526.2056,3307.0114,18,0.462963,3.4.0
2488,SiOs,2574.9201,107.2883,24,0.00463,3.4.0
4769,SiP2O7,47994.6567,399.9555,120,1.365741,3.4.0
2798,SiP,10886.6856,151.204,72,0.0,3.4.0
149,Si,5197.3729,866.2288,6,0.0,3.4.0
165,Si,8770.9191,730.9099,12,0.0,3.4.0
1745,Sm2O3,7659.6155,170.2137,45,0.081019,3.4.0
218,Sm2O3,13382.3179,111.5193,120,0.0,3.4.0
1403,Sm2S3,4436.0705,73.9345,60,0.0,3.4.0
5598,Sm2SO2,2853.9178,190.2612,15,0.0,3.4.0
2883,Sm2Sn2O7,10190.1775,154.3966,66,0.0,3.4.0
3073,Sm2Te4O11,8870.2296,86.963,102,0.3125,3.4.0
3335,Sm2Ti2O7,33203.6146,503.0851,66,1.387731,3.4.0
4408,Sm2Zr2O7,14862.0021,225.1819,66,0.0,3.4.0
21604,Sm3InS6,6516.9808,54.3082,120,0.0,3.4.0
3154,Sm3Sb5O12,7587.6349,63.2303,120,0.0,3.4.0
754217,SmIO,5637.0073,313.1671,18,0.0,3.4.0
3831,SmPO4,7823.1351,108.6547,72,0.0,3.4.0
3897,SmPS4,3896.8146,27.0612,144,0.0,3.4.0
3317,SmRhO3,9596.1353,159.9356,60,0.0,3.4.0
3756,SmTaO4,9070.4059,251.9557,36,0.0,3.4.0
1509,Sn2S3,3502.1959,58.3699,60,0.032407,3.4.0
1443,Sn3F8,4930.9043,74.7107,66,0.006944,3.4.0
2843,SnF2,5110.4981,70.9791,72,0.150463,3.4.0
2706,SnF4,4265.0994,284.34,15,0.0,3.4.0
571146,SnICl,1501.5625,41.7101,36,0.0,3.4.0
856,SnO2,8531.4878,473.9715,18,0.0,3.4.0
2097,SnO,12062.7688,1005.2307,12,0.185185,3.4.0
4252,SnPS3,2475.5397,41.259,60,0.175926,3.4.0
2231,SnS,2787.9498,116.1646,24,0.0,3.4.0
665,SnSe2,1457.3766,161.9307,9,0.0,3.4.0
691,SnSe,1701.8342,70.9098,24,0.0,3.4.0
11919,Sr(BeN)2,23155.1865,771.8395,30,0.0,3.4.0
4157,Sr(NO3)2,5299.7864,49.0721,108,0.0,3.4.0
3765,Sr(PO3)2,17643.1246,81.6811,216,0.699074,3.4.0
4578,Sr2GeS4,4904.6069,116.7764,42,0.553241,3.4.0
14283,Sr2InF7,8926.1221,74.3844,120,0.342593,3.4.0
10556,Sr2LiReN4,5554.7352,115.7237,48,0.0,3.4.0
3870,Sr2Nb2O7,27324.7408,414.0112,66,2.578704,3.4.0
20222,Sr2NbInO6,8777.4944,146.2916,60,0.0,3.4.0
4103,Sr2Sb2O7,8984.6308,136.1308,66,0.0,3.4.0
18510,Sr2SiO4,7059.4695,84.0413,84,0.0,3.4.0
3376,Sr2SnO4,10365.2053,493.5812,21,0.773148,3.4.0
4287,Sr2SnO4,17759.9916,211.4285,84,0.0,3.4.0
17057,Sr2SnSe3F2,5951.367,61.9934,96,0.0,3.4.0
770419,Sr2Zr7O16,21221.1459,282.9486,75,1.453704,3.4.0
4632,Sr3(PO4)2,5015.9387,128.6138,39,0.0,3.4.0
558642,Sr3Bi(ClO)3,4710.7421,39.2562,120,0.0,3.4.0
17149,Sr3ErRhO6,6613.7112,100.2077,66,0.0,3.4.0
1853,Sr3P14,2085.7428,20.4485,102,0.0,3.4.0
3349,Sr3Ti2O7,21777.4361,604.9288,36,0.0,3.4.0
3956,Sr3UO6,7473.6465,124.5608,60,0.002315,3.4.0
8877,Sr4Al6SO12,13975.5639,202.5444,69,0.402778,3.4.0
4598,Sr4PtO6,5832.8318,88.3762,66,0.0,3.4.0
3094,SrAl2O4,8916.2931,106.1463,84,0.0,3.4.0
3788,SrAl4O7,15183.1103,210.8765,72,0.0,3.4.0
2630,SrC2,6516.8728,724.097,9,0.395833,3.4.0
3822,SrCO3,8503.4173,141.7236,60,0.0,3.4.0
21228,SrCuSeF,2875.9971,119.8332,24,0.0,3.4.0
981,SrF2,3079.508,342.1676,9,0.0,3.4.0
1244,SrGe2,1744.1958,24.2249,72,0.0,3.4.0
3378,SrHfO3,14267.4018,237.79,60,0.0,3.4.0
3721,SrHfO3,15518.0765,517.2692,30,0.217593,3.4.0
4551,SrHfO3,23701.7676,1580.1178,15,1.106481,3.4.0
4673,SrHfO3,27013.4317,450.2239,60,0.68287,3.4.0
540688,SrIn2O4,10537.044,125.441,84,0.0,3.4.0
7756,SrLiSb,1959.1709,54.4214,36,0.0,3.4.0
2131,SrN6,4439.3192,105.6981,42,0.0,3.4.0
4591,SrNb2O6,36024.6133,333.5612,108,0.231481,3.4.0
2697,SrO2,7842.122,871.3469,9,0.560185,3.4.0
2472,SrO,2726.2306,454.3718,6,0.0,3.4.0
12622,SrPdF4,3837.828,106.6063,36,0.0,3.4.0
1950,SrS2,2857.5286,158.7516,18,0.0,3.4.0
1175,SrS3,2217.9923,92.4163,24,0.284722,3.4.0
1087,SrS,1329.6859,221.6143,6,0.0,3.4.0
770771,SrSc2O4,16439.8843,195.7129,84,0.0,3.4.0
