mp_id,material,n_atoms_primitive,n_atoms_unitcell,avg_mass_AMU,fc_mean,fc_max,on_site_norm,trace_ratio,aniso,interaction_range,phonopy_version
4559,BaCO3,5,15,39.4672,1.249163,98.382414,52.780602,0.620456,0.322309,0.989916,3.4.0
5504,BaCO3,20,20,39.4672,1.826603,97.701615,52.299576,0.621425,0.318358,1.0,3.4.0
23199,BaCl2,12,12,69.411,0.194925,7.771405,5.83119,0.816779,0.653891,1.0,3.4.0
568662,BaCl2,3,12,69.411,0.257467,7.118881,5.474884,1.0,1.0,1.0,3.4.0
1029,BaF2,3,12,58.4413,0.436994,12.168219,8.130889,1.0,1.0,1.0,3.4.0
4309,BaGa4S7,24,24,53.3895,0.419371,20.591644,16.506801,0.748702,0.451645,1.0,3.4.0
2139,BaGe2,24,24,94.2023,0.314133,12.663862,10.102959,0.684529,0.500118,0.963158,3.4.0
3848,BaGe4O9,42,42,40.8487,1.178442,57.657416,37.88821,0.624499,0.321228,1.0,3.4.0
3915,BaHgO2,4,12,92.4789,0.677077,40.756351,23.803387,0.534293,0.255911,1.0,3.4.0
752656,BaLa2O4,28,28,68.4479,0.904998,21.483569,13.613095,0.813196,0.621395,1.0,3.4.0
1707,BaN6,14,14,31.6239,2.81289,174.084807,102.957745,0.439157,0.147213,0.986231,3.4.0
2892,BaNd2O4,28,28,69.9727,0.945697,22.891078,15.493693,0.815816,0.624632,1.0,3.4.0
1105,BaO2,3,6,56.4419,0.618019,26.541831,21.20839,0.567931,0.314302,1.0,3.4.0
1342,BaO,2,8,76.6632,0.638646,9.119295,7.296016,1.0,1.0,1.0,3.4.0
684,BaS2,6,12,67.1523,0.261289,13.765139,11.913034,0.622121,0.414101,1.0,3.4.0
239,BaS3,8,8,58.3805,0.325905,18.667898,13.517601,0.628758,0.357323,0.938976,3.4.0
3164,BaSO4,24,24,38.8983,1.652481,123.127659,52.79233,0.592708,0.362112,1.0,3.4.0
1500,BaS,2,8,84.696,0.423999,7.49677,6.843179,1.0,1.0,1.0,3.4.0
3564,BaSc2O4,42,84,41.6052,1.135332,31.543681,20.842606,0.690972,0.460342,1.0,3.4.0
1253,BaSe,2,8,108.1435,0.37755,6.906794,6.412755,1.0,1.0,1.0,3.4.0
555387,BaSi2(BO4)2,52,52,26.3935,1.73355,79.643406,51.904181,0.659769,0.423481,1.0,3.4.0
3031,BaSi2O5,32,32,34.1869,1.332015,80.172051,50.88292,0.582608,0.328995,1.0,3.4.0
1477,BaSi2,24,24,64.4993,0.362166,15.417753,12.09627,0.685242,0.49976,0.97193,3.4.0
3777,BaSiN2,16,32,48.3565,1.008309,57.135641,36.15158,0.738588,0.492219,1.0,3.4.0
